Record_ID,Data_Resource_Name,Scientific_Name,Common_Name,Latitude,Longitude,Year,Month,Day,State,Local_Government_Area,Basis_Of_Record,Individual_Count,Date,Density
0000bd7a-e302-454e-b8da-fbf1d9c78842,Victorian Biodiversity Atlas,Felis catus,Cat,-38.37047,144.99917,2009,1,1,Victoria,Mornington Peninsula (S),HUMAN_OBSERVATION,1,2009-01-01,low
0000d114-ca60-495e-b3ab-c9f11073c431,Victorian Biodiversity Atlas,Felis catus,Cat,-36.95021,148.39838,2017,6,3,Victoria,East Gippsland (S),HUMAN_OBSERVATION,1,2017-06-03,low
00084583-de11-4386-8b6f-211157906a15,Victorian Biodiversity Atlas,Felis catus,Cat,-34.71631,142.34298,2019,4,18,Victoria,Mildura (RC),HUMAN_OBSERVATION,1,2019-04-18,low
000ba388-0845-4fe4-851d-05a1e0cb410d,Victorian Biodiversity Atlas,Felis catus,Cat,-37.60475,146.11973,2018,10,9,Victoria,Yarra Ranges (S),HUMAN_OBSERVATION,1,2018-10-09,low
000bdc0d-7c6e-430c-9a92-e96f6b5586f9,Victorian Biodiversity Atlas,Felis catus,Cat,-38.41483,145.34665,2021,11,4,Victoria,Unincorporated Vic,HUMAN_OBSERVATION,1,2021-11-04,low
001ad52b-692e-45cc-89d3-74eef7ae128a,Victorian Biodiversity Atlas,Felis catus,Cat,-38.33296,145.29396,2021,9,19,Victoria,Unincorporated Vic,HUMAN_OBSERVATION,1,2021-09-19,low
001cf786-72b8-4313-aba3-0a75057ae41c,Victorian Biodiversity Atlas,Felis catus,Cat,-37.24988,149.04304,2018,10,4,Victoria,East Gippsland (S),HUMAN_OBSERVATION,1,2018-10-04,low
002059e0-7295-477a-9b70-ab61f069ed3b,Victorian Biodiversity Atlas,Felis catus,Cat,-38.29177,146.59819,1991,10,7,Victoria,Latrobe (C),HUMAN_OBSERVATION,1,1991-10-07,low
00253bf7-2ef6-47ed-9f2d-fc5011ef1113,Victorian Biodiversity Atlas,Felis catus,Cat,-34.68209,142.36617,2016,2,26,Victoria,Mildura (RC),HUMAN_OBSERVATION,1,2016-02-26,low
003884a9-a3ef-4d49-adb9-af87e1583cd4,Victorian Biodiversity Atlas,Felis catus,Cat,-37.78896,145.76863,2018,8,28,Victoria,Yarra Ranges (S),HUMAN_OBSERVATION,1,2018-08-28,low
004aec9b-5594-48aa-9f20-4d99a5d349c1,Victorian Biodiversity Atlas,Felis catus,Cat,-36.62896,146.66627,1972,1,1,Victoria,Alpine (S),HUMAN_OBSERVATION,1,1972-01-01,low
005153a6-b963-4410-a983-f46565c3915d,Victorian Biodiversity Atlas,Felis catus,Cat,-36.73108,146.30744,1996,2,17,Victoria,Wangaratta (RC),HUMAN_OBSERVATION,1,1996-02-17,low
00560c63-4b67-4b04-a348-b55fb50c059f,Victorian Biodiversity Atlas,Felis catus,Cat,-37.49627,145.4202,2015,4,28,Victoria,Murrindindi (S),HUMAN_OBSERVATION,1,2015-04-28,low
00686edc-40b4-497d-a912-439112f11bd3,Victorian Biodiversity Atlas,Felis catus,Cat,-38.40857,145.27012,2003,1,18,Victoria,,HUMAN_OBSERVATION,1,2003-01-18,low
00766b55-a545-4506-8a12-e6c4d6da9568,Victorian Biodiversity Atlas,Felis catus,Cat,-37.68519,146.3163,2012,1,19,Victoria,Baw Baw (S),HUMAN_OBSERVATION,1,2012-01-19,low
008ef3f6-59f5-42ad-ae3b-97ff8bfc3fb3,Victorian Biodiversity Atlas,Felis catus,Cat,-37.33763,145.91432,2022,6,8,Victoria,Murrindindi (S),HUMAN_OBSERVATION,1,2022-06-08,low
009460b2-8df8-476a-bde4-1d455fa13bfa,Victorian Biodiversity Atlas,Felis catus,Cat,-38.6049,142.95416,2018,9,13,Victoria,Corangamite (S),HUMAN_OBSERVATION,1,2018-09-13,low
00955563-eb71-43a7-8f14-36edaad6e671,Victorian Biodiversity Atlas,Felis catus,Cat,-37.36133,149.29753,2006,6,21,Victoria,East Gippsland (S),HUMAN_OBSERVATION,1,2006-06-21,low
009cf6ea-f7a7-489a-931e-97eb220c4fe1,Victorian Biodiversity Atlas,Felis catus,Cat,-38.01084,141.62142,2016,12,20,Victoria,Glenelg (S),HUMAN_OBSERVATION,1,2016-12-20,low
00befbc5-125a-4dbe-8506-0fae90081cd4,Victorian Biodiversity Atlas,Felis catus,Cat,-35.33661,141.54623,2019,8,1,Victoria,Mildura (RC),HUMAN_OBSERVATION,1,2019-08-01,low
00d8a403-748c-4ac1-92f4-1fad372b10b8,Victorian Biodiversity Atlas,Felis catus,Cat,-37.95687,141.7097,1980,7,21,Victoria,Glenelg (S),HUMAN_OBSERVATION,1,1980-07-21,low
00df1741-e65c-43c9-9f22-ddbb5cbb2558,Victorian Biodiversity Atlas,Felis catus,Cat,-38.4624,146.5483,2012,4,2,Victoria,Wellington (S),HUMAN_OBSERVATION,1,2012-04-02,low
00e0fe63-63ae-4905-af4f-d70fc8e27159,Victorian Biodiversity Atlas,Felis catus,Cat,-37.6275,147.5671,2008,10,1,Victoria,East Gippsland (S),HUMAN_OBSERVATION,1,2008-10-01,low
00f04af3-eafe-475b-9f65-69c53deb1a10,Victorian Biodiversity Atlas,Felis catus,Cat,-38.3792,146.40411,2013,12,27,Victoria,Latrobe (C),HUMAN_OBSERVATION,1,2013-12-27,low
00f690fc-ce35-4043-b882-bec44b117f26,Victorian Biodiversity Atlas,Felis catus,Cat,-37.61238,146.05032,2022,5,4,Victoria,Yarra Ranges (S),HUMAN_OBSERVATION,1,2022-05-04,low
00fdd106-a655-4584-99e6-a0fbb7d04968,Victorian Biodiversity Atlas,Felis catus,Cat,-37.87484,141.44188,2013,11,19,Victoria,Glenelg (S),HUMAN_OBSERVATION,1,2013-11-19,low
010fc7d4-0971-4bda-a606-25c501a4b91a,Victorian Biodiversity Atlas,Felis catus,Cat,-37.04543,148.32123,2017,5,5,Victoria,East Gippsland (S),HUMAN_OBSERVATION,1,2017-05-05,low
011e0092-b6e5-40b0-aef4-1f18306c5a8a,Victorian Biodiversity Atlas,Felis catus,Cat,-38.0287,141.01824,2014,11,11,Victoria,Glenelg (S),HUMAN_OBSERVATION,1,2014-11-11,low
012be380-2624-44fc-9315-6dbe0f274d17,Victorian Biodiversity Atlas,Felis catus,Cat,-38.01404,141.06623,2016,11,27,Victoria,Glenelg (S),HUMAN_OBSERVATION,1,2016-11-27,low
01401571-f3f1-412d-9aad-a7569d908d3a,Victorian Biodiversity Atlas,Felis catus,Cat,-37.3989,145.59899,2013,11,11,Victoria,Murrindindi (S),HUMAN_OBSERVATION,1,2013-11-11,low
01438e62-d636-4d4b-8150-4cb58a310c38,Victorian Biodiversity Atlas,Felis catus,Cat,-38.30967,145.42579,2021,7,18,Victoria,Unincorporated Vic,HUMAN_OBSERVATION,1,2021-07-18,low
015312b5-28b4-41dd-96f1-218982c48f5e,Victorian Biodiversity Atlas,Felis catus,Cat,-38.37948,145.34636,2021,7,6,Victoria,Unincorporated Vic,HUMAN_OBSERVATION,1,2021-07-06,low
01538491-8427-413b-b9ad-d1a744a83577,Victorian Biodiversity Atlas,Felis catus,Cat,-36.7876,146.52329,2021,2,2,Victoria,Wangaratta (RC),HUMAN_OBSERVATION,1,2021-02-02,low
0169db18-b1ae-4bd5-ae78-419ea8daa4a9,Victorian Biodiversity Atlas,Felis catus,Cat,-38.36551,145.45994,2021,7,16,Victoria,Unincorporated Vic,HUMAN_OBSERVATION,1,2021-07-16,low
016c9b4f-4504-43d5-80d6-67e0ecf055d0,Victorian Biodiversity Atlas,Felis catus,Cat,-37.1162,148.24575,2021,6,2,Victoria,East Gippsland (S),HUMAN_OBSERVATION,1,2021-06-02,low
017afb3f-b8c6-4831-9344-3def8cbf9fe6,Victorian Biodiversity Atlas,Felis catus,Cat,-37.6406,147.4501,2011,10,27,Victoria,East Gippsland (S),HUMAN_OBSERVATION,2,2011-10-27,low
